,product_name,selling_price,actual_price,average_rating,rating_and_rivew,ram,SSD,processor,operating_system,exchange_offer,display_size
859,Lenovo Ideapad L340 Core i5 9th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX ...,"₹94,949","₹97,890",4.1,182 Ratings & 19 Reviews,8 GB DDR4 RAM,1 TB HDD,Intel Core i5 Processor (9th Gen),64 bit Windows 10 Operating System,Bank Offer,39.62 cm (15.6 inch) Display
860,ASUS ExpertBook P2 Core i7 10th Gen - (8 GB/1 TB HDD/Windows 10 Pro/2 GB Graphics) ExpertBook P2 P2451...,"₹93,990",0,0,0,8 GB DDR4 RAM,1 TB HDD,Intel Core i7 Processor (10th Gen),64 bit Windows 10 Operating System,Bank Offer,35.56 cm (14 inch) Display
861,ASUS ExpertBook P2 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Pro/2 GB Graphics) ExpertBook P2 P2451...,"₹83,990",0,0,0,8 GB DDR4 RAM,1 TB HDD,Intel Core i5 Processor (10th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",35.56 cm (14 inch) Display
862,DELL G3 15 3000 Series Core i5 8th Gen - (8 GB + 16 GB Optane/1 TB HDD/Windows 10 Home/4 GB Graphics/N...,"₹83,218",0,4.4,418 Ratings & 67 Reviews,8 GB DDR4 RAM,1 TB HDD,Intel Core i5 Processor (8th Gen),64 bit Windows 10 Operating System,Bank Offer,39.62 cm (15.6 inch) Display
863,ASUS Pro P5 Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Pro) Pro P5 P5440FA Thin and Light Laptop,"₹81,990",0,0,0,8 GB DDR4 RAM,1 TB HDD,Intel Core i5 Processor (8th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",35.56 cm (14 inch) Display
864,DELL 5000 Core i5 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1050) 5577...,"₹77,234",0,4.4,295 Ratings & 71 Reviews,8 GB DDR4 RAM,1 TB HDD,Intel Core i5 Processor (7th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display
865,acer Swift 3 Core i5 8th Gen - (8 GB + 16 GB Optane/1 TB HDD/Windows 10 Home/2 GB Graphics) SF315-52G ...,"₹72,965","₹73,199",4.2,18 Ratings & 6 Reviews,8 GB DDR4 RAM,1 TB HDD,Intel Core i5 Processor (8th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display
866,ASUS ExpertBook P2 Core i5 10th Gen - (8 GB/1 TB HDD/DOS/2 GB Graphics) ExpertBook P2 P2451FB Thin and...,"₹69,290","₹77,990",0,0,8 GB DDR4 RAM,1 TB HDD,Intel Core i5 Processor (10th Gen),DOS Operating System,"Upto ₹18,100 Off on Exchange",35.56 cm (14 inch) Display
867,HP Pavilion Gaming Core i5 9th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1...,"₹68,949","₹76,020",4.2,85 Ratings & 13 Reviews,8 GB DDR4 RAM,1 TB HDD,Intel Core i5 Processor (9th Gen),64 bit Windows 10 Operating System,Bank Offer,39.62 cm (15.6 inch) Display
868,HP Pavilion 15-CS Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 15-cs1000tx Laptop,"₹64,990","₹68,270",4.3,23 Ratings & 4 Reviews,8 GB DDR4 RAM,1 TB HDD,Intel Core i5 Processor (8th Gen),64 bit Windows 10 Operating System,Bank Offer,39.62 cm (15.6 inch) Display
